id,country,city,languages,texts,repository,repository id#,city of origin (provenance),country of origin (provenance),note,NAASCAL URL,Image URL-ish
0,Egypt,,,,Franciscan Center for Oriental Christian Studies,,,,,,
0,Italy,Florence,,,,,,,,,
0,Netherlands,Leiden,,,,,,,,,
0,Germany,Leipzig,,,,,,,,,
0,Germany,Münster,,,,,,,,,
0,United Kingdom,Oxford,,,Bodleian,,,,,,
0,,Paderborn,,,,,,,,,
0,Iraq,‘Aqra,,,,,,,,,
0,Iraq,Kirkuk,,,,,,,,,
0,Jordan,Beirut,,,,,,,,,
0,Russia,Saint Petersburg,,,,,,,,,
0,Syria,Damascus,,,,,,,,,
0,Turkey,Alqosh,,,Notre-Dame-des-Semences,,,,,,
0,Turkey,Seert,,,,,,,,,
0,Turkey,Urmia,,,Oroomiah College,,,,,,
0,United States of America,Chicago,,,,,,,,,
0,United States of America,Princeton,,,,,,,,,
